X	col0_fb1	col0_fb2	col0_leaf1	col0_leaf2	d234_fb1	d234_fb2
AT5G24105	61.56	92.94	5.67	4.81	33.26	49.47
AT5G24110	0.1	0.31	0.25	1.82	0.16	0.07
AT5G24120	1.7	2.16	6.49	5.55	3.53	3.55
AT5G24130	0.42	0.79	0	0	0.34	0.56
AT5G24140	0	0	0	0.35	0	0
AT5G24150	10.39	11.11	16.85	26.27	15.65	20.98
AT5G24155	3.16	4.79	3.6	2.91	6.55	6.75
AT5G24160	0.64	0.65	9.81	7.01	0.24	1.19
AT5G24165	80.44	127.87	153.08	112.43	238.3	254.81
AT5G24170	3.7	6.09	6.31	5.02	8.93	10.26
AT5G24180	0	0	0	0	0	0
AT5G24190	0	0	0	0	0	0
AT5G24200	0	0	0.82	8.16	0	0.06
AT5G24205	0.18	0.74	0	0	0.58	0.85
AT5G24206	2.07	3.04	0.38	0.4	4.75	3.57
AT5G24210	1.04	0.51	35.68	65.64	0.99	0.92
AT5G24215	0	0	0.5	0	0	0
AT5G24220	0	0	0	0	0	0
AT5G24230	0	0	0.12	0.12	0.07	0.12
AT5G24240	3.59	4.25	0.41	0	3.01	2.7
AT5G24260	5.84	7.51	5.18	4.41	6.08	8.93
AT5G24270	0.67	2.29	2.02	0.5	2.41	2.94
AT5G24275	0.47	0.49	0	0	0.21	0.43
AT5G24280	1.54	2.44	0.15	0.26	3.12	3.32
AT5G24290	0.45	0.9	0.32	0.09	0.95	1.25
AT5G24300	21.57	21.87	38.19	22.31	23.62	29.45
AT5G24310	2.15	3.33	1.84	1.94	4.16	4.58
AT5G24313	0	0	0	0	0	0
AT5G24314	66.42	95	174.39	115.86	154.91	168.12
AT5G24316	0.31	0.61	0	0	0.48	0.4
AT5G24318	0.39	1.25	1.23	0.69	0.55	1.77
AT5G24320	2.48	3.59	4.96	3.56	4.92	4.23
AT5G24330	0.85	1.38	0.35	0.12	2.47	2.94
AT5G24340	1.36	3.19	3.08	1.43	4.07	4.23
AT5G24350	1.32	1.87	1.24	1.44	2.55	2.56
AT5G24352	1.85	3.21	2.56	0.63	1.95	4.78
AT5G24355	0.18	0	0	0	0	0.12
